발전기명,년월일,설비용량(MW),01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
화순 풍력 발전소,2017-03-23,16,2315.496,2279.892,3095.772,4094.076,2672.448,3687.228,6685.956,7334.004,5460.228,8528.952,6157.704,2523.312,1581.78,827.34,528.204,600.132,481.68,541.716,1917.984,2703.096,4799.016,6348.84,6499.692,7639.284
화순 풍력 발전소,2017-03-24,16,8102.7,8256.876,6937.44,7619.1,7410.984,6359.28,7697.856,8449.464,7509.036,4707.672,2408.004,1188.324,12.984,311.52,511.704,1098.78,497.88,491.016,1968.42,2893.824,3812.52,5310.108,4944.144,5855.964
화순 풍력 발전소,2017-03-25,16,5944.14,4641.024,5452.176,6648.84,5287.884,5877.516,7009.284,5166.204,6314.724,3186.36,1733.556,1200.456,33.528,90.804,98.928,424.38,359.616,429.636,371.724,502.716,199.776,466.416,2500.344,6669.492
화순 풍력 발전소,2017-03-26,16,6792.612,12753.408,14140.356,9148.272,7095.948,6117.864,6496.464,6925.416,5583.396,5726.604,4233.12,3382.284,2106.96,2026.488,1423.068,4722.312,6880.632,3965.316,6058.08,11627.832,10201.776,11414.4,9478.884,10925.988
화순 풍력 발전소,2017-03-27,16,11150.22,10764.972,9617.76,9040.092,5913.408,5687.82,3555.612,921.336,18.744,22.02,0,0,0,0,0.78,0,182.784,222.804,195.528,803.4,655.08,1.248,4.32,0
화순 풍력 발전소,2017-03-28,16,2.412,212.496,1149.684,1438.716,1249.416,157.392,1.464,0,0,1102.764,1154.916,1150.644,11.04,0,280.032,360.456,596.28,1202.964,1320.852,1597.428,2910.864,3411.372,3775.488,3876.696
화순 풍력 발전소,2017-03-29,16,3984.216,4539.432,4180.128,3296.04,3520.704,4106.352,2543.52,1330.932,418.956,1101.564,1156.284,1152.744,12.648,0,16.932,306.6,472.968,485.28,557.46,526.848,1366.788,758.952,392.28,516.348
화순 풍력 발전소,2017-03-30,16,508.056,924.456,1641.528,1502.244,1597.752,2154.336,2576.424,2610.06,1127.568,2214.012,2394.276,1367.892,245.16,389.628,219.54,28.944,0,0,0,0,0,232.884,495.96,1597.2
화순 풍력 발전소,2017-03-31,16,4657.608,2909.928,2620.812,1370.856,3618.888,4791.54,4444.704,6497.628,8648.28,7381.188,10669.764,13203.996,12371.016,13962.468,9436.284,6183.516,3645.948,6530.256,7531.152,2091.468,4376.4,9141.756,12552.684,11527.596
화순 풍력 발전소,2017-04-01,16,10893.9,12264.012,11716.164,11562.804,10164.936,12471.96,10354.992,10734.588,11422.056,14724.696,14104.428,13173.288,12727.524,12561.324,7193.664,3505.56,5671.848,3421.5,2660.34,4286.724,4375.668,4693.536,3611.532,2826.984
